season,week,game.id,date,dow,team,opp,h.a,playerid,name,full_name,pos,dk.salary,fan_pts,pass.att,pass.comp,passyds,pass.tds,pass.ints,pass.twopta,pass.twoptm,rush.att,rushyds,rushtds,rushlng,rushlngtd,rush.twopta,rush.twoptm,recept,recyds,rec.tds,reclng,reclngtd,rec.twopta,rec.twoptm,kick.rets,kickret.avg,kickret.tds,kick.ret.lng,kickret.lngtd,punt.rets,puntret.avg,puntret.tds,puntret.lng,puntret.lngtd,fgm,fga,fgyds,totpts.fg,xpmade,xpmissed,xpa,xpb,xppts.tot,tackles,asst.tackles,sacks,defints,forced.fumbs,totalfumbs,recfumbs,totalrecfumbs,fumbyds,fumbslost,games
2019,1,2019090805,2019-09-08,Sun,BUF,NYJ,a,00-0035308,T.Sweeney,Tommy Sweeney,TE,2500,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090805,2019-09-08,Sun,BUF,NYJ,a,00-0031051,J.Brown,John Brown,WR,4300,28.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,123,1,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090805,2019-09-08,Sun,BUF,NYJ,a,00-0029000,C.Beasley,Cole Beasley,WR,3600,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,40,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090805,2019-09-08,Sun,BUF,NYJ,a,00-0033891,Z.Jones,Zay Jones,WR,3700,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090805,2019-09-08,Sun,NYJ,BUF,h,00-0034869,S.Darnold,Sam Darnold,QB,5100,11,41,28,175,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-3,0,1
2019,1,2019090805,2019-09-08,Sun,NYJ,BUF,h,00-0031023,Q.Enunwa,Quincy Enunwa,WR,3800,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2019,1,2019090805,2019-09-08,Sun,NYJ,BUF,h,00-0030496,L.Bell,Le'Veon Bell,RB,7100,23.2,0,0,0,0,0,0,0,17,60,0,12,0,0,0,6,32,1,11,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090805,2019-09-08,Sun,NYJ,BUF,h,00-0031941,J.Crowder,Jamison Crowder,WR,4100,24.3,0,0,0,0,0,0,0,1,4,0,4,0,0,0,14,99,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090805,2019-09-08,Sun,NYJ,BUF,h,00-0034419,B.Berrios,Braxton Berrios,WR,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090805,2019-09-08,Sun,NYJ,BUF,h,00-0032200,T.Montgomery,Ty Montgomery,RB,3200,0.4,0,0,0,0,0,0,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090805,2019-09-08,Sun,NYJ,BUF,h,00-0029319,J.Bellamy,Josh Bellamy,WR,3000,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090805,2019-09-08,Sun,NYJ,BUF,h,00-0030108,R.Griffin,Ryan Griffin,TE,2700,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090804,2019-09-08,Sun,ATL,MIN,a,00-0031285,D.Freeman,Devonta Freeman,RB,5300,5.1000000000000005,0,0,0,0,0,0,0,8,19,0,5,0,0,0,3,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2019,1,2019090804,2019-09-08,Sun,ATL,MIN,a,00-0030465,K.Barner,Kenjon Barner,RB,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,26,0,4,11,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090804,2019-09-08,Sun,ATL,MIN,a,00-0034378,I.Smith,Ito Smith,RB,4000,5,0,0,0,0,0,0,0,6,31,0,16,0,0,0,1,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090804,2019-09-08,Sun,ATL,MIN,a,00-0034411,R.Gage,Russell Gage,WR,3000,2.2,0,0,0,0,0,0,0,1,-1,0,-1,0,0,0,1,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090804,2019-09-08,Sun,ATL,MIN,a,00-0026143,M.Ryan,Matt Ryan,QB,6100,23.56,46,33,304,2,2,2,0,2,24,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090804,2019-09-08,Sun,ATL,MIN,a,00-0029632,M.Sanu,Mohamed Sanu,WR,4600,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,57,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090804,2019-09-08,Sun,ATL,MIN,a,00-0031570,J.Hardy,Justin Hardy,WR,3000,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,41,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090804,2019-09-08,Sun,ATL,MIN,a,00-0032392,A.Hooper,Austin Hooper,TE,3200,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,77,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090804,2019-09-08,Sun,ATL,MIN,a,00-0027944,J.Jones,Julio Jones,WR,8000,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31,1,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
